Year,Month,Day,ETH to USD,Latency - 100 GWei,Deploy (StackelbergGameOffChain),Deploy (StackelbergGameOnChain),grantRole,revokeRole,initialize,input,initEvaluation,output (StackelbergGameOffChain),output (StackelbergGameOnChain)
2022,6,28,1142.41,129.50693756194252,253.66894175200002,308.7259065690001,5.943730748000001,3.4420813300000006,8.045765148000001,14.846189155000003,3.5202221740000006,26.821045016000006,33.271434599
2022,6,29,1098.71,430.8259535291539,243.96547911200003,296.91637923900004,5.716368388,3.31041323,7.737994788000001,14.278285805000001,3.385564994,25.795073895999998,31.998720169
2022,6,30,1069.53,91.51310160427808,237.486141816,289.03074977700004,5.564550684,3.22249389,7.532485884000001,13.899077114999999,3.295649742,25.109997528,31.148884767000002
2022,7,1,1058.01,195.30401954252721,234.928158072,285.917574609,5.504614427999999,3.1877841300000003,7.451352827999999,13.749368955,3.260152014,24.839535576,30.813377439
2022,7,2,1065.69,45.41834607366226,236.63348056799998,287.993024721,5.544571931999999,3.21092397,7.505441532,13.849174395,3.283817166,25.019843543999997,31.037048991
2022,7,3,1072.95,46.21594461813309,238.24554324,289.954973655,5.58234426,3.2327983500000004,7.556572259999999,13.943521725,3.30618813,25.190290920000002,31.248488505
2022,7,4,1149.81,45.0,255.312091032,310.725689229,5.982231468,3.4643775299999997,8.097881868000002,14.942355855,3.5430245339999997,26.994779256,33.486951459000004
2022,7,5,1131.96,71.17861180194438,251.34854851200004,305.901889164,5.8893614880000005,3.4105954800000005,7.972167888,14.71038618,3.488021544,26.575704096000003,32.967089844
2022,7,6,1185.41,63.234679981842945,263.2169713520001,320.346265269,6.1674511480000005,3.5716403300000006,8.348605548000002,15.404995655000004,3.6527223740000005,27.830581816000006,34.523762299000005
2022,7,7,1236.64,139.69921332716336,274.59244940800005,334.190706576,6.433990592000001,3.72599632,8.709408192000001,16.07075512,3.8105824960000008,29.033339264000002,36.015779696
2022,7,8,1214.0,46.045792654579266,269.5653008,328.07245259999996,6.3161992,3.6577819999999996,8.5499592,15.776537,3.7408195999999996,28.501806399999996,35.356414599999994
2022,7,9,1216.53,48.4361334867664,270.12708021599997,328.75616207699994,6.329362283999999,3.66540489,8.567777484,15.809415614999999,3.748615542,28.561204728,35.430098066999996
2022,7,10,1167.31,47.14740757963264,259.19791703199996,315.45490497899993,6.073280467999999,3.5171050299999997,8.221130868,15.169777104999998,3.596949033999999,27.405637256,33.996619709
2022,7,11,1095.67,126.55011441647598,243.29045562400006,296.094846903,5.700551876000001,3.30125371,7.716584676000002,14.238779485000002,3.3761975380000004,25.723701992000002,31.910183513000007
2022,7,12,1037.37,71.7739392534199,230.34510386399995,280.33980243299993,5.397228635999999,3.1255958099999996,7.305989435999999,13.481141834999999,3.196551917999999,24.354957911999996,30.212260142999998
2022,7,13,1114.57,77.39898053753475,247.48714770399997,301.20239991299997,5.798884795999999,3.3581994099999997,7.849693596,14.484394434999997,3.4344359979999997,26.167428631999996,32.460625222999994
2022,7,14,1192.56,147.37883720930233,264.804608832,322.278487704,6.204651168,3.59318328,8.398961568,15.49791348,3.674754384,27.998446656,34.731998184
2022,7,15,1231.23,130.5500711912672,273.391174056,332.728703307,6.405843443999999,3.7096959899999997,8.671306644,16.000449465,3.7939121219999996,28.906325447999997,35.858219397
2022,7,16,1356.31,112.48126599953456,301.164837832,366.530435079,7.056609667999999,4.08656203,9.552220067999999,17.625926604999997,4.179333634,31.842903655999997,39.501036809
2022,7,17,1337.97,80.83592842203115,297.092492184,361.574216973,6.961190316000001,4.03130361,9.423055115999999,17.387589135,4.122820758,31.412324471999998,38.966904483
2022,7,18,1583.55,119.17993963315533,351.62284356,427.939977195,8.238893939999999,4.771236149999999,11.15262594,20.579024025,4.8795509699999995,37.17795348,46.119151845
2022,7,19,1543.12,53.35997220291869,342.64547526399997,417.01413760799994,8.028544735999999,4.649420559999999,10.867885536,20.05361596,4.754969967999999,36.228754112,44.941672567999994
2022,7,20,1521.72,106.75040669300488,337.89366518400004,411.23098234800005,7.917204816000001,4.58494236,10.717169616000001,19.77551226,4.689028008,35.72633347200001,44.318421108
2022,7,21,1575.68,85.63484708063021,349.875332096,425.81318131200004,8.197947904000001,4.74752384,11.097199104000001,20.47674944,4.855300352,36.993184768000006,45.88994675200001
2022,7,22,1535.71,45.062630480167016,341.000105512,415.01165253899995,7.989991988,4.62709423,10.815698388,19.957319305000002,4.732136794,36.054785096,44.725864469
2022,7,23,1549.19,45.0,343.993301768,418.65449987100004,8.060125732000001,4.66770947,10.910635332,20.132498645000002,4.773674066,36.371263144,45.118454641
2022,7,24,1597.72,45.0,354.769252384,431.76929074800006,8.312617616,4.8139303600000005,11.252422416,20.763170260000003,4.923214408000001,37.510631072,46.531837508
2022,7,25,1438.01,66.35111464968153,319.30609407199995,388.60911660899995,7.4816784279999995,4.33272413,10.127616827999999,18.687658955,4.431084014,33.761023576,41.88045943899999
2022,7,26,1449.61,45.412624738918545,321.881841592,391.74391104899996,7.542030908,4.36767493,10.209313307999999,18.838406754999998,4.466828254,34.033363736,42.218296679
2022,7,27,1636.88,57.227640342530925,363.464620736,442.35192439200006,8.516359264,4.931919440000001,11.528218464,21.27207404,5.043882032,38.430013888000005,47.672329432
2022,7,28,1725.82,54.22077317186772,383.213498704,466.387150038,8.979096296,5.19989566,12.154605096,22.42789381,5.317941748,40.518111632,50.262609098
2022,7,29,1722.28,45.83158630328442,382.427451616,465.43049725199995,8.960678384,5.18922964,12.129673583999999,22.38188974,5.307033592,40.435000928,50.159510491999995
2022,7,30,1697.52,45.0,376.929562944,458.739332568,8.831857056,5.114627759999999,11.955293856,22.060121159999998,5.2307381280000005,39.853695552000005,49.438402728
