Date(UTC),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain),Avg Gas Price (Wei),Value (USD),Cost Per Gas Unit (USD),Deploy (off-chain),Deploy (onchain),grantRole,revokeRole,setBandwidth,initialize,input,initEvaluation,output (off-chain),output (on-chain)
2022-07-30,12277416442,1697.52,2.08E-05,47.6821356,57.7259282,1.0843239,0.6279441,0.6332378,1.5048151,2.6747336,0.6420536,5.9251626,7.4162642,108014068874,0.93,1.00E-07,0.2298249,0.2782354,0.0052264,0.0030267,0.0030522,0.0072531,0.0128920,0.0030947,0.0285589,0.0357459
2022-07-31,11543215897,1679.55,1.94E-05,44.3561218,53.6993209,1.0086881,0.5841426,0.5890670,1.3998484,2.4881606,0.5972679,5.5118596,6.8989511,118978117005,0.93,1.11E-07,0.2531535,0.3064778,0.0057569,0.0033339,0.0033620,0.0079893,0.0142007,0.0034088,0.0314578,0.0393743
2022-08-01,23580872768,1630.62,3.85E-05,87.9724022,106.5029599,2.0005517,1.1585420,1.1683086,2.7763480,4.9348197,1.1845736,10.9317836,13.6828305,117534551152,0.89,1.05E-07,0.2393257,0.2897374,0.0054424,0.0031518,0.0031783,0.0075530,0.0134250,0.0032226,0.0297395,0.0372236
2022-08-02,17447426756,1631.11,2.85E-05,65.1101125,78.8249442,1.4806478,0.8574598,0.8646883,2.0548300,3.6523575,0.8767263,8.0908290,10.1269331,281631412293,0.88,2.48E-07,0.5670190,0.6864562,0.0128944,0.0074673,0.0075302,0.0178947,0.0318070,0.0076351,0.0704599,0.0881916
2022-08-03,15725584672,1618.68,2.55E-05,58.2373511,70.5045005,1.3243566,0.7669498,0.7734153,1.8379304,3.2668294,0.7841826,7.2367937,9.0579749,124269564429,0.89,1.11E-07,0.2530397,0.3063401,0.0057543,0.0033324,0.0033605,0.0079858,0.0141943,0.0034073,0.0314437,0.0393566
2022-08-04,17102541649,1607.96,2.75E-05,62.9172466,76.1701719,1.4307806,0.8285811,0.8355662,1.9856246,3.5293485,0.8471987,7.8183352,9.7858647,102640731249,0.89,9.14E-08,0.2089987,0.2530223,0.0047528,0.0027524,0.0027756,0.0065959,0.0117238,0.0028142,0.0259710,0.0325067
2022-08-05,17134974698,1736.78,2.98E-05,68.0866691,82.4284845,1.5483367,0.8966592,0.9042182,2.1487680,3.8193277,0.9168065,8.4607072,10.5898933,105995530161,0.93,9.86E-08,0.2255300,0.2730358,0.0051287,0.0029701,0.0029951,0.0071176,0.0126511,0.0030368,0.0280252,0.0350779
2022-08-06,11788764416,1690.67,1.99E-05,45.5995909,55.2047152,1.0369654,0.6005183,0.6055808,1.4390914,2.5579131,0.6140116,5.6663777,7.0923547,84139492424,0.91,7.66E-08,0.1751762,0.2120754,0.0039836,0.0023070,0.0023264,0.0055284,0.0098265,0.0023588,0.0217681,0.0272461
2022-08-07,12459101119,1700.54,2.12E-05,48.4738343,58.6843908,1.1023276,0.6383703,0.6437519,1.5298006,2.7191440,0.6527141,6.0235421,7.5394015,75605145630,0.91,6.88E-08,0.1574079,0.1905644,0.0035796,0.0020730,0.0020904,0.0049677,0.0088298,0.0021195,0.0195601,0.0244825
2022-08-08,20888856665,1777.99,3.71E-05,84.9723825,102.8710143,1.9323292,1.1190336,1.1284672,2.6816694,4.7665333,1.1441775,10.5589898,13.2162210,112007876519,0.92,1.03E-07,0.2357600,0.2854207,0.0053613,0.0031048,0.0031310,0.0074404,0.0132250,0.0031746,0.0292964,0.0366691
2022-08-09,22435156603,1703.41,3.82E-05,87.4343547,105.8515778,1.9883161,1.1514562,1.1611632,2.7593676,4.9046379,1.1773286,10.8649238,13.5991451,115275324070,0.89,1.03E-07,0.2347254,0.2841681,0.0053378,0.0030912,0.0031172,0.0074078,0.0131669,0.0031606,0.0291679,0.0365081
2022-08-10,32790380268,1854.05,6.08E-05,139.0918574,168.3902467,3.1630425,1.8317535,1.8471954,4.3896425,7.8023701,1.8729117,17.2840806,21.6337200,195428056071,0.94,1.84E-07,0.4202895,0.5088196,0.0095577,0.0055350,0.0055816,0.0132640,0.0235762,0.0056593,0.0522268,0.0653699
